Date,HIGH,LOW,OPEN,CLOSE,COUNT
2019-05-08 14:00:00,2886.87,2873.28,2879.61,2884.04,1799.0
2019-05-08 15:00:00,2891.09,2877.16,2884.05,2891.09,3600.0
2019-05-08 16:00:00,2897.96,2882.64,2891.11,2888.13,3600.0
2019-05-08 17:00:00,2893.52,2882.05,2888.12,2893.42,3600.0
2019-05-08 18:00:00,2894.97,2888.63,2893.44,2891.35,3600.0
2019-05-08 19:00:00,2893.61,2887.71,2891.38,2891.71,3600.0
2019-05-08 20:00:00,2896.48,2878.94,2891.73,2879.62,3600.0
2019-05-08 21:00:00,2879.71,2879.42,2879.42,2879.42,1201.0
2019-05-08 22:00:00,2879.42,2879.42,2879.42,2879.42,1.0
2019-05-09 14:00:00,2859.84,2843.21,2859.84,2849.17,1799.0
2019-05-09 15:00:00,2849.13,2836.95,2849.13,2839.92,3600.0
2019-05-09 16:00:00,2851.11,2836.4,2839.96,2848.98,3600.0
2019-05-09 17:00:00,2873.83,2845.08,2848.88,2866.47,3600.0
2019-05-09 18:00:00,2875.97,2862.55,2866.36,2869.73,3600.0
2019-05-09 19:00:00,2875.87,2864.9,2869.74,2865.55,3600.0
2019-05-09 20:00:00,2873.57,2859.16,2865.46,2870.29,3600.0
2019-05-09 21:00:00,2870.72,2870.57,2870.61,2870.72,1201.0
2019-05-09 22:00:00,2870.72,2870.72,2870.72,2870.72,1.0
2019-05-10 14:00:00,2866.1,2857.82,2863.1,2858.59,1799.0
2019-05-10 15:00:00,2858.65,2828.14,2858.43,2831.65,3600.0
2019-05-10 16:00:00,2838.85,2825.39,2831.48,2833.81,3600.0
2019-05-10 17:00:00,2857.84,2833.64,2833.71,2855.85,3600.0
2019-05-10 18:00:00,2870.5,2854.36,2855.86,2868.39,3600.0
2019-05-10 19:00:00,2875.94,2862.58,2868.39,2873.06,3600.0
2019-05-10 20:00:00,2891.31,2873.1,2873.1,2881.63,3600.0
2019-05-10 21:00:00,2882.09,2881.4,2882.09,2881.4,1201.0
2019-05-10 22:00:00,2881.4,2881.4,2881.4,2881.4,1.0
2019-05-13 14:00:00,2840.19,2820.28,2840.19,2822.87,1799.0
2019-05-13 15:00:00,2826.89,2812.71,2823.15,2820.24,3600.0
2019-05-13 16:00:00,2822.6,2808.77,2820.29,2816.34,3600.0
2019-05-13 17:00:00,2816.5,2805.26,2816.4,2805.33,3600.0
2019-05-13 18:00:00,2813.74,2801.43,2805.26,2813.12,3600.0
2019-05-13 19:00:00,2823.73,2807.49,2813.15,2820.07,3600.0
2019-05-13 20:00:00,2823.83,2804.09,2820.01,2811.89,3600.0
2019-05-13 21:00:00,2811.89,2811.66,2811.66,2811.87,1202.0
2019-05-14 14:00:00,2831.32,2820.12,2820.12,2825.11,1799.0
2019-05-14 15:00:00,2838.24,2825.17,2825.17,2835.49,3600.0
2019-05-14 16:00:00,2848.79,2832.61,2835.53,2847.28,3600.0
2019-05-14 17:00:00,2849.39,2842.29,2847.26,2844.78,3600.0
2019-05-14 18:00:00,2852.54,2844.81,2844.81,2850.41,3600.0
2019-05-14 19:00:00,2852.02,2842.15,2850.4,2844.81,3600.0
